shopId          shopName 	                      shopId               shopName                                  distance
264962 金源福城肥牛火锅（远大路金源店） 5627937 陈阿婆Hi有鱼烤鱼吧（五棵松店） 9.632
671207634 上地宴（清河高铁站店） 305448 满屋溢香烤羊腿·烤海鲜 1.828
157741112 111号打邊爐（中关村店） 50068496 食客烧烤（罗道庄店） 10.027
773682151 鼎坤朋湘菜馆 263385 名轩 5.449
1655112 川成元·麻辣香锅（凯德晶品店） 114542606 炑羊香烤全羊（郑州西三旗店） 24.623
157085033 阳坊大都涮羊肉（清河店） 102580101 书湘门地 16.503
111591492 合顺和胡辣汤（天秀路店） 4711433 北邮科技酒店·中餐厅 13.624
161110417 四十大道新疆特色餐厅（清河创始店） 41544160 阿里西北美食（军博店） 22.713
633700420 茶亭序 90327655 成都美食巫山烤鱼 20.95
265257 静莲斋素食（西直门店） 160706508 虾宝贝（小西天店） 4.223
1654738 千鹤居酒屋（首都师范大学店） 84027486 三山阳坊涮肉（闵庄店） 8.75
380481 尚上签麻辣捞烫（定慧寺店） 90384309 郑州泰富酒店·柏景轩中餐厅 5.393
2483252 徽商故里（远大店） 91842987 汕头八合里海记牛肉店（玲珑路店） 5.767
981440460 六丁火木炭烤肉（五道口店） 263732 蜀乡竹林风味酒楼（白石桥店） 8.03
79093141 花园饭店中餐厅 76912271 鹿港小镇（华联万柳店） 6.481
41968339 大得涮肉（牡丹园店） 41872791 山风点火烤鱼香锅串吧（巨山路店） 16.637
2508029 九号重庆火锅（六道口店） 86712718 韩国炸鸡 6.801
6505462 锦绣农庄自助烧烤 92471721 小城渔家（郑州华联农大南路店） 15.457
1657405 希瑞咖啡serenecoffee（清华科技园店） 52534671 潮汕渔村 5.517
42942676 U鼎冒菜（农大圣熙8号店） 329447 江边城外烤全鱼（上地店） 6.2
159081389 羊羊盒子（动物园店） 159324915 巴蜀王婆大虾（五路居店） 8.899
266432 小码头重庆火锅（二里庄店） 2539616 草原情（羊蝎子·烤羊排店） 2.809
194968599 额尔敦传统涮（中关村店） 112028367 蓉蓉阁（圆明园分店） 9.147
263972 好伦哥（永定路店） 2431390 滇釜火锅·能喝汤的火锅（车公庄店） 8.129
6376791 麻里麻里（融科店） 1657361 Ricci睿奇餐厅（五道口店） 2.112
633700420 茶亭序 116014490 惠丰堂饭庄（唐家岭店） 4.886
283497 真功夫（城乡店） 96285284 70后餐厅 19.95
280181 千鹤居酒屋（五道口店） 161821600 喜洋洋老郑州涮肉（航天桥总店） 10.505
315977 唯实自助餐厅（唯实大厦店） 271093 首尔798韩国料理地区（五道口东源大厦店） 5.051
4955158 玫瑰花园自助烤肉（金源店） 96285284 70后餐厅 10.87
277687 宴铭园 264341 宝琴傣味餐馆 5.841
280561 小码头火锅（皂君东里店） 1496292 PHO88 越风尚（花园路店） 5.0
280061 肉家乐炭火烤肉（王庄路店） 2743367 西荣阁酒楼 11.737
193753596 广淼老铺 6700547 老郑州门钉肉饼爆肚涮肉（农业大学西区店） 7.037
266420 红菜苔·楚菜（四季青店） 102881118 CoffeeCraft·CC咖啡馆 7.138
6033701 简阳羊肉汤（永泰庄店） 159129595 京饭儿（双榆树店） 3.327
1657683 江南赋（同方店） 1415706 龙船人铁板烧自助（温泉店） 17.848
1058617806 马路边边串串香（温泉店） 5853436 艺术蛋糕房（朱房路总店） 14.747
275334 雕刻时光咖啡馆（北航店） 157056265 和畅小镇京味私房菜（五棵松华熙店） 14.623
1532743 湘水之珠（万寿路店） 95186572 鑫方老鸭汤火锅·羊蝎子（知春路店） 10.515
633700420 茶亭序 157765999 岩山厨房（凯时广场店） 11.229
42230249 美珍香（万柳华联店） 114005421 五台云养生素食馆（青年创业店） 7.501
265312 黄记煌三汁焖锅（四道口店） 263766 必胜客（紫金店） 4.793
1206670594 烤肉私塾（苏州街店） 2437377 宇宙餐厅（复兴路店） 9.988
2482296 三元梅园（华润五彩城购物中心店） 2820133 全日制餐厅·东升凯莱酒店 3.721
1187814868 小院食光（北师大店） 5138119 眉州小吃（万柳店） 7.955
1656167 点点心食坊家常菜 158400868 享品（六道口店） 14.456
4912534 凤凰烤翅靠山屯铁锅炖 102580101 书湘门地 32.542
4172200 贝可芯蛋糕（牡丹园店） 98090882 聚虎堂（闵庄店） 12.435
74361 云海肴云南菜（欧美汇购物中心店） 2574786 同庆楼（大钟寺店） 3.904
4279339 缘心蛋糕坊（上地店） 515679 赣人之家 1422.666
114542606 炑羊香烤全羊（郑州西三旗店） 159227344 老佛爷铜炉蛙锅（五道口店） 8.267
90333788 喜肉膳微烤肉（魏公村扬帆起航店） 380481 尚上签麻辣捞烫（定慧寺店） 5.281
736266 品质伊骊（人大创始店） 50002814 健鼎清真羊蝎子火锅城 5.044
164306524 凤王府成都火锅 195948110 谭鸭血老火锅（黑泉路店） 21.368
42722345 小渔棠（北清路店） 2534514 胡椒厨房（五彩城店） 11.683
42695683 海泰食府（皇苑店） 96154783 栖语寿司（苏州桥店） 1.169
2466646 陕味食族油泼面（工商大学店） 264807 加藤屋（魏公村店） 4.837
96720847 艾尚蛋糕（北外店） 298761 鑫方老鸭汤火锅·羊蝎子（六道口店） 9.23
6376791 麻里麻里（融科店） 61518886 玉林串串香（印象城店） 11.76
160424540 旺顺阁鱼头泡饼（城乡华懋店） 110471625 尚鱼坊烤鱼家常菜（交大店） 10.778
263766 必胜客（紫金店） 116014490 惠丰堂饭庄（唐家岭店） 13.455
1654023 京水宾馆鱼鱻舫餐厅 6339458 合利屋（融科店） 12.192
633700420 茶亭序 280561 小码头火锅（皂君东里店） 17.796
1500269 东来顺饭庄（五道口店） 42269487 秀成麻辣烫（航天桥店） 10.774
40242815 马仕玖煲（人大店） 50163021 黄鹤楼（中关村店） 3.464
1098834 权金城（清河店） 119701361 知味湘（中关村店） 8.842
267086 便宜坊烤鸭店（航天桥店） 3287608 安安佳美蛋糕店 10.04
77081691 醉面肉酱面是一绝（大钟寺店） 109755879 MUSANGKING猫山王榴莲甜品蛋糕（枫蓝国际购物中心店） 2.979
177541082 燕枫楼老郑州酱肉熟食主食（唐家岭店） 1657721 朵宜·排骨飯專家（中关村店） 13.087
1657133 THESTEPSBAR 89089 遇叶日本料理（北大店） 3.833
128171194 嘉和一品（五棵松华熙店） 1659652 老浒记民俗酒楼（上地店） 17.934
66048218 榆林镇筋饼（知春路店） 158882942 辣风芹新疆味道（五道口店） 3.43
4209304 爱的味道蛋糕（清河店） 300316 汇贤府（解放军301店） 20.07
1660663 兴隆自助梭边鱼火锅城（台头村店） 2396059 雕刻时光咖啡馆（香山店） 30.893
